System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.5.3,net/sf/freecol/FreeCol,0,11663,public final super,java/lang/Object,0,24,1,16,4,3,21,35,62,821,143,38,20,
freecol,freecol-0.5.3,net/sf/freecol/FreeCol$1,0,716,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.5.3,net/sf/freecol/FreeCol$2,0,1500,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.5.3,net/sf/freecol/FreeCol$3,0,872,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.5.3,net/sf/freecol/client/ClientOptions,0,6682,public super,net/sf/freecol/common/option/OptionMap,0,28,0,4,0,0,6,9,4,257,29,9,6,
freecol,freecol-0.5.3,net/sf/freecol/client/FreeColClient,0,14132,public final super,java/lang/Object,0,31,1,37,2,2,94,57,58,570,151,23,28,
freecol,freecol-0.5.3,net/sf/freecol/client/FreeColClient$1,0,739,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.5.3,net/sf/freecol/client/FreeColClient$2,0,772,,java/lang/Thread,0,1,1,2,0,0,1,5,2,12,5,0,1,
freecol,freecol-0.5.3,net/sf/freecol/client/Worker,0,2064,public final super,java/lang/Object,1,6,0,6,0,0,3,13,9,119,32,11,2,
freecol,freecol-0.5.3,net/sf/freecol/client/control/ClientModelController,0,5463,public super,java/lang/Object,1,6,1,9,1,0,1,22,13,185,43,13,5,
freecol,freecol-0.5.3,net/sf/freecol/client/control/ConnectController,0,16134,public final super,java/lang/Object,0,6,1,17,3,2,18,50,58,1030,260,94,20,
freecol,freecol-0.5.3,net/sf/freecol/client/control/ConnectController$1,0,3326,,java/lang/Object,1,7,7,4,2,4,5,20,4,125,45,9,7,
