System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.5.1,net/sf/freecol/FreeCol,0,10514,public final super,java/lang/Object,0,23,1,15,4,3,22,33,55,728,129,31,18,
freecol,freecol-0.5.1,net/sf/freecol/FreeCol$1,0,716,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.5.1,net/sf/freecol/FreeCol$2,0,1500,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.5.1,net/sf/freecol/FreeCol$3,0,872,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/ClientOptions,0,5609,public super,net/sf/freecol/common/option/OptionMap,0,22,0,4,0,0,5,8,4,205,24,5,6,
freecol,freecol-0.5.1,net/sf/freecol/client/FreeColClient,0,14087,public final super,java/lang/Object,0,31,1,37,2,2,88,57,58,582,156,23,28,
freecol,freecol-0.5.1,net/sf/freecol/client/FreeColClient$1,0,739,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/FreeColClient$2,0,772,,java/lang/Thread,0,1,1,2,0,0,1,5,2,12,5,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/Worker,0,2064,public final super,java/lang/Object,1,6,0,6,0,0,3,13,9,119,32,11,2,
freecol,freecol-0.5.1,net/sf/freecol/client/control/ClientModelController,0,5463,public super,java/lang/Object,1,6,1,9,1,0,1,22,13,185,43,13,5,
freecol,freecol-0.5.1,net/sf/freecol/client/control/ConnectController,0,12980,public final super,java/lang/Object,0,6,1,17,3,1,13,38,52,829,202,66,13,
freecol,freecol-0.5.1,net/sf/freecol/client/control/ConnectController$1,0,2753,,java/lang/Object,1,3,3,4,2,2,3,16,7,88,27,6,4,
freecol,freecol-0.5.1,net/sf/freecol/client/control/ConnectController$1$1,0,1303,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/ConnectController$1$1ErrorJob,0,1063,,java/lang/Object,1,2,1,2,0,0,1,6,2,20,8,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameController,0,45441,public final super,java/lang/Object,1,6,1,64,2,2,42,58,326,4496,1312,338,32,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameController$1,0,1904,,java/lang/Thread,0,3,3,3,1,2,3,12,3,40,13,1,3,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameController$1$1,0,932,,java/lang/Object,1,1,1,2,0,0,1,5,2,16,5,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameController$1$2,0,922,,java/lang/Object,1,1,1,2,0,0,1,5,2,12,4,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameController$2,0,2220,,java/lang/Object,1,4,4,4,0,0,1,14,7,66,20,2,3,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameInputHandler,0,20401,public final super,net/sf/freecol/client/control/InputHandler,0,5,1,24,1,4,7,44,108,2148,488,258,27,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameInputHandler$1,0,968,,java/lang/Object,1,2,2,2,0,0,1,6,2,14,6,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameInputHandler$2,0,1581,,java/lang/Object,1,3,3,2,0,0,1,8,2,35,13,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameInputHandler$3,0,1089,,java/lang/Object,1,2,2,2,0,0,1,7,2,17,7,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InGameInputHandler$4,0,1583,,java/lang/Object,1,2,2,2,0,0,1,9,2,27,9,0,1,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InputHandler,0,2383,public abstract super,java/lang/Object,1,6,1,7,2,1,3,13,8,41,8,1,2,
freecol,freecol-0.5.1,net/sf/freecol/client/control/InputHandler$1,0,1145,,java/lang/Object,1,1,1,2,0,0,1,6,4,29,7,0,1,
