System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.5.2,net/sf/freecol/FreeCol,0,11663,public final super,java/lang/Object,0,24,1,16,4,3,22,35,62,821,143,38,20,
freecol,freecol-0.5.2,net/sf/freecol/FreeCol$1,0,716,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/FreeCol$2,0,1500,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.5.2,net/sf/freecol/FreeCol$3,0,872,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/ClientOptions,0,6502,public super,net/sf/freecol/common/option/OptionMap,0,27,0,4,0,0,6,9,4,248,28,9,6,
freecol,freecol-0.5.2,net/sf/freecol/client/FreeColClient,0,14132,public final super,java/lang/Object,0,31,1,37,2,2,93,57,58,570,151,23,28,
freecol,freecol-0.5.2,net/sf/freecol/client/FreeColClient$1,0,739,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/FreeColClient$2,0,772,,java/lang/Thread,0,1,1,2,0,0,1,5,2,12,5,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/Worker,0,2064,public final super,java/lang/Object,1,6,0,6,0,0,3,13,9,119,32,11,2,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ClientModelController,0,5463,public super,java/lang/Object,1,6,1,9,1,0,1,22,13,185,43,13,5,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController,0,15706,public final super,java/lang/Object,0,6,1,17,3,2,17,49,57,999,253,91,18,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1,0,3326,,java/lang/Object,1,7,7,4,2,4,5,20,4,125,45,9,7,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1$1,0,1303,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1$2,0,1548,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1$3,0,1548,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1$4,0,1548,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/ConnectController$1ErrorJob,0,983,,java/lang/Object,1,3,2,2,0,0,2,6,2,21,10,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameController,0,46542,public final super,java/lang/Object,1,6,1,65,2,2,42,59,338,4652,1357,351,34,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameController$1,0,1904,,java/lang/Thread,0,3,3,3,1,2,3,12,3,40,13,1,3,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameController$1$1,0,932,,java/lang/Object,1,1,1,2,0,0,1,5,2,16,5,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameController$1$2,0,922,,java/lang/Object,1,1,1,2,0,0,1,5,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameController$2,0,2220,,java/lang/Object,1,4,4,4,0,0,1,14,7,66,20,2,3,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameInputHandler,0,20761,public final super,net/sf/freecol/client/control/InputHandler,0,5,1,24,1,4,7,44,115,2240,524,266,27,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameInputHandler$1,0,968,,java/lang/Object,1,2,2,2,0,0,1,6,2,14,6,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameInputHandler$2,0,1581,,java/lang/Object,1,3,3,2,0,0,1,8,2,35,13,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameInputHandler$3,0,1089,,java/lang/Object,1,2,2,2,0,0,1,7,2,17,7,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InGameInputHandler$4,0,1583,,java/lang/Object,1,2,2,2,0,0,1,9,2,27,9,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InputHandler,0,2383,public abstract super,java/lang/Object,1,6,1,7,2,1,3,13,8,41,8,1,2,
freecol,freecol-0.5.2,net/sf/freecol/client/control/InputHandler$1,0,1145,,java/lang/Object,1,1,1,2,0,0,1,6,4,29,7,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/control/PreGameController,0,9855,public final super,java/lang/Object,0,6,1,12,1,0,6,46,19,392,99,27,14,
freecol,freecol-0.5.2,net/sf/freecol/client/control/PreGameInputHandler,0,7312,public final super,net/sf/freecol/client/control/InputHandler,1,5,1,16,1,1,2,26,31,408,111,36,6,
freecol,freecol-0.5.2,net/sf/freecol/client/control/PreGameInputHandler$1,0,1255,,java/lang/Thread,0,1,1,2,0,0,1,7,3,23,5,1,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/Canvas,0,38141,public final super,javax/swing/JLayeredPane,0,70,1,93,4,3,97,95,176,2571,810,135,50,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/Canvas$1,0,887,,java/lang/Thread,0,1,1,2,0,0,1,5,2,13,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/Canvas$ChatDisplayThread,0,1010,final private,java/lang/Thread,0,1,1,2,0,0,1,5,3,20,5,1,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/Canvas$TakeFocusThread,0,1686,final private,java/lang/Thread,0,3,1,5,0,0,1,9,8,57,14,2,2,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/CanvasKeyListener,0,3457,public final super,java/lang/Object,1,7,1,6,1,0,1,14,15,139,27,1,2,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/CanvasMouseListener,0,3076,public final super,java/lang/Object,1,5,0,6,0,0,1,12,12,97,31,2,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/CanvasMouseMotionListener,0,2709,public final super,java/lang/Object,1,8,0,3,0,1,2,14,10,81,29,3,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/CanvasMouseMotionListener$ScrollThread,0,2739,private,java/lang/Thread,0,5,1,4,0,0,1,10,23,229,71,13,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FAFile,0,4933,public super,java/lang/Object,0,5,0,6,0,3,4,19,25,487,165,66,14,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FAFile$1,1,211,static,java/lang/Object,0,0,0,0,0,0,2,1,0,0,0,0,0,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FAFile$FALetter,0,874,private,java/lang/Object,0,4,1,2,1,0,1,7,2,10,5,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FAFile$FAName,0,898,private,java/lang/Object,0,5,1,2,1,0,1,7,2,10,5,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar,0,16262,public super,javax/swing/JMenuBar,0,23,6,9,4,30,32,62,18,1398,385,86,38,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$1,0,913,,java/lang/Object,1,1,1,2,0,0,1,6,2,11,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$10,0,1237,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$11,0,1251,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$12,0,1237,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$13,0,1263,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$14,0,1235,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$15,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$16,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$17,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$18,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$19,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$2,0,1060,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$20,0,934,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$21,0,1509,,java/lang/Object,1,1,1,2,0,0,1,10,4,32,8,1,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$22,0,1251,,java/lang/Object,1,1,1,2,0,0,1,8,2,19,6,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$23,0,1251,,java/lang/Object,1,1,1,2,0,0,1,8,2,19,6,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$24,0,1249,,java/lang/Object,1,1,1,2,0,0,1,8,2,19,6,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$25,0,1228,,java/lang/Object,1,2,2,2,0,0,1,8,3,24,8,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$26,0,1807,,java/lang/Object,1,1,1,2,0,0,1,12,3,36,8,1,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$27,0,1766,,java/lang/Object,1,1,1,2,0,0,1,11,3,37,10,3,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$28,0,1860,,java/lang/Object,1,1,1,2,0,0,1,11,3,36,10,2,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$29,0,4275,,java/lang/Object,1,1,1,2,0,0,1,21,10,203,38,11,2,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$3,0,1060,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$30,0,737,,java/lang/Object,1,1,1,2,0,0,1,6,2,8,3,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$4,0,1044,,java/lang/Object,1,1,1,2,0,0,1,7,2,13,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$5,0,1064,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$6,0,910,,java/lang/Object,1,1,1,2,0,0,1,6,2,11,4,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$7,0,1318,,java/lang/Object,1,1,1,2,0,0,1,9,2,21,6,0,1,
freecol,freecol-0.5.2,net/sf/freecol/client/gui/FreeColMenuBar$8,0,1313,,java/lang/Object,1,1,1,2,0,0,1,9,2,21,6,0,1,
