System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.9.3,net/sf/freecol/FreeCol,0,23521,public final super,java/lang/Object,0,42,0,28,0,3,114,69,116,1885,212,113,41,
freecol,freecol-0.9.3,net/sf/freecol/FreeCol$1,0,791,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.9.3,net/sf/freecol/FreeCol$2,0,941,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.9.3,net/sf/freecol/FreeCol$3,0,1264,static,java/lang/Object,1,1,1,2,0,0,1,8,2,20,6,0,2,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions,0,11138,public super,net/sf/freecol/common/option/OptionMap,0,85,0,13,2,9,39,29,16,263,57,5,17,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$1,0,1100,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$2,0,1092,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$3,0,1079,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$4,0,1078,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$5,0,1175,static,java/lang/Object,1,0,0,3,1,0,1,6,4,30,10,1,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$6,0,1960,,java/lang/Object,1,1,1,4,1,0,1,11,12,80,28,3,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$7,0,1564,,java/lang/Object,1,1,1,3,1,0,1,7,5,37,15,1,1,
freecol,freecol-0.9.3,net/sf/freecol/client/ClientOptions$8,0,2978,,java/lang/Object,1,2,1,9,3,0,1,12,11,75,25,3,3,
