System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.10.3,net/sf/freecol/FreeCol,0,20461,public final super,java/lang/Object,0,45,0,35,0,2,48,55,124,1603,186,82,29,
freecol,freecol-0.10.3,net/sf/freecol/FreeCol$1,0,1264,static,java/lang/Object,1,1,1,2,0,0,1,8,2,20,6,0,2,
freecol,freecol-0.10.3,net/sf/freecol/FreeCol$2,0,773,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions,0,14865,public super,net/sf/freecol/common/option/OptionGroup,0,80,0,21,1,8,25,46,39,474,113,30,23,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$1,0,1276,static,java/lang/Object,1,0,0,3,1,0,1,7,5,32,10,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$2,0,1092,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$3,0,1079,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$4,0,1078,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$5,0,1175,static,java/lang/Object,1,0,0,3,1,0,1,6,4,30,10,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$6,0,2501,,java/lang/Object,1,1,1,4,1,0,1,15,12,91,32,6,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$7,0,1334,,java/lang/Object,1,1,1,3,1,0,1,7,3,21,8,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/ClientOptions$8,0,2997,,java/lang/Object,1,2,1,9,3,0,1,13,12,78,26,3,3,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient,0,22566,public final super,java/lang/Object,0,31,0,55,4,5,180,76,112,1105,299,50,39,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient$1,0,1068,,java/lang/Object,1,5,5,2,0,0,1,7,3,34,16,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient$2,0,998,,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient$3,0,1399,,java/lang/Object,1,1,1,2,0,0,1,9,2,25,6,1,2,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient$4,0,1997,,java/lang/Object,1,1,1,2,0,0,1,11,3,37,9,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/FreeColClient$5,0,849,,java/lang/Object,1,1,1,2,0,0,1,5,2,11,4,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/Worker,0,1899,public final super,java/lang/Thread,0,3,0,5,0,0,3,10,6,54,11,3,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController,0,19480,public final super,java/lang/Object,0,2,0,16,1,2,24,62,68,1229,311,106,21,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1,0,3512,,java/lang/Object,1,6,6,2,0,5,6,24,2,130,39,8,9,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1$1,0,1630,,java/lang/Object,1,3,3,2,0,0,1,10,2,30,11,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1$2,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1$3,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1$4,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1$5,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/ConnectController$1ErrorJob,0,1096,,java/lang/Object,1,3,2,2,0,0,2,6,2,21,10,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController,0,80097,public final super,java/lang/Object,1,11,0,117,1,7,80,118,710,7095,2231,511,92,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$1,0,784,static,java/lang/Object,1,0,0,2,0,0,1,6,4,15,3,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$2,0,1240,,java/lang/Object,1,1,1,2,0,0,1,6,2,16,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$3,0,1178,,java/lang/Object,1,4,4,2,0,0,1,7,3,30,14,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$4,1,7191,static synthetic,java/lang/Object,0,11,11,1,0,0,1,15,1,444,0,114,0,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$ColonyWas,0,2178,private,java/lang/Object,0,5,1,2,0,0,1,10,5,84,33,6,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$EuropeWas,0,1149,private,java/lang/Object,0,3,1,2,0,0,1,6,3,32,14,2,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameController$UnitWas,0,4333,private,java/lang/Object,0,8,1,4,0,0,1,21,31,263,92,16,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler,0,33063,public final super,net/sf/freecol/client/control/InputHandler,0,2,0,33,0,27,27,92,158,2271,604,199,64,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$1,0,2566,,java/lang/Object,1,5,5,2,0,0,1,14,5,68,24,2,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$2,0,1474,,java/lang/Object,1,2,2,2,0,0,1,7,2,26,10,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$3,0,1328,,java/lang/Object,1,3,3,2,0,0,1,8,3,35,12,2,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$4,1,1540,static synthetic,java/lang/Object,0,2,2,1,0,0,1,6,1,51,0,12,0,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$DiplomacySwingTask,0,2340,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,4,1,2,0,0,1,10,3,45,21,2,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$FoundingFatherSwingTask,0,2334,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,2,1,2,0,0,1,10,3,38,16,3,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$LootCargoSwingTask,0,2032,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,4,1,2,0,0,1,9,3,41,19,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$NewLandNameSwingTask,0,4946,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,5,1,2,0,0,1,19,4,121,38,9,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$NewRegionNameSwingTask,0,2656,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,4,1,2,0,0,1,11,5,61,22,2,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,1040,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,3,0,0,12,6,3,14,5,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ReconnectSwingTask,0,1067,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,1,6,2,13,4,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$RefreshCanvasSwingTask,0,1245,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,2,1,3,0,0,1,5,5,27,12,0,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$RefreshTilesSwingTask,0,1291,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,3,1,2,0,0,0,5,2,22,12,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowConfirmDialogSwingTask,0,2222,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,5,1,3,0,0,1,13,4,59,23,4,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowErrorMessageSwingTask,0,1354,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,3,1,2,0,0,1,7,2,24,11,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowInformationMessageSwingTask,0,1453,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,2,1,2,0,0,1,7,2,22,9,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowInputDialogSwingTask,0,2330,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,7,1,3,0,0,0,12,5,72,30,4,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,1103,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,3,5,3,26,7,1,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowModelMessageSwingTask,0,1393,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,2,1,2,0,0,0,7,2,24,8,1,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowMonarchPanelSwingTask,0,2374,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,3,1,3,0,0,1,13,4,55,18,4,3,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowSelectSwingTask,0,1192,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,0,8,3,28,8,2,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$ShowVictoryPanelSwingTask,0,1080,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,1,1,2,0,0,1,5,2,14,6,0,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$SpyColonySwingTask,0,1973,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,3,1,3,1,1,2,9,3,31,14,1,2,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$SpyColonySwingTask$1,0,1258,,java/lang/Object,1,2,2,2,0,0,1,5,2,16,7,0,1,
freecol,freecol-0.10.3,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,3230,abstract static,java/lang/Object,1,4,0,13,0,0,7,14,16,142,33,3,4,
