System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.10.1,net/sf/freecol/FreeCol,0,20585,public final super,java/lang/Object,0,46,0,35,0,2,49,55,124,1629,187,83,29,
freecol,freecol-0.10.1,net/sf/freecol/FreeCol$1,0,1264,static,java/lang/Object,1,1,1,2,0,0,1,8,2,20,6,0,2,
freecol,freecol-0.10.1,net/sf/freecol/FreeCol$2,0,773,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions,0,13689,public super,net/sf/freecol/common/option/OptionGroup,0,79,0,18,1,8,25,43,34,408,90,28,21,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$1,0,1276,static,java/lang/Object,1,0,0,3,1,0,1,7,5,32,10,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$2,0,1092,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$3,0,1079,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$4,0,1078,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$5,0,1175,static,java/lang/Object,1,0,0,3,1,0,1,6,4,30,10,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$6,0,2501,,java/lang/Object,1,1,1,4,1,0,1,15,12,91,32,6,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$7,0,1334,,java/lang/Object,1,1,1,3,1,0,1,7,3,21,8,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/ClientOptions$8,0,2997,,java/lang/Object,1,2,1,9,3,0,1,13,12,78,26,3,3,
freecol,freecol-0.10.1,net/sf/freecol/client/FreeColClient,0,21704,public final super,java/lang/Object,0,31,0,54,3,4,178,73,110,1049,290,47,36,
freecol,freecol-0.10.1,net/sf/freecol/client/FreeColClient$1,0,1068,,java/lang/Object,1,5,5,2,0,0,1,7,3,34,16,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/FreeColClient$2,0,998,,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/FreeColClient$3,0,1997,,java/lang/Object,1,1,1,2,0,0,1,11,3,37,9,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/FreeColClient$4,0,849,,java/lang/Object,1,1,1,2,0,0,1,5,2,11,4,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/Worker,0,1899,public final super,java/lang/Thread,0,3,0,5,0,0,3,10,6,54,11,3,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController,0,18170,public final super,java/lang/Object,0,2,0,15,1,2,23,58,64,1140,293,97,20,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1,0,3512,,java/lang/Object,1,6,6,2,0,5,6,24,2,130,39,8,9,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1$1,0,1630,,java/lang/Object,1,3,3,2,0,0,1,10,2,30,11,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1$2,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1$3,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1$4,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1$5,0,1177,,java/lang/Object,1,1,1,2,0,0,1,7,2,19,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/ConnectController$1ErrorJob,0,1096,,java/lang/Object,1,3,2,2,0,0,2,6,2,21,10,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController,0,79793,public final super,java/lang/Object,1,11,0,117,1,7,79,117,697,6983,2195,497,89,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$1,0,784,static,java/lang/Object,1,0,0,2,0,0,1,6,4,15,3,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$2,0,1240,,java/lang/Object,1,1,1,2,0,0,1,6,2,16,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$3,0,1523,,java/lang/Object,1,3,3,2,0,0,1,9,3,35,14,2,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$4,1,7736,static synthetic,java/lang/Object,0,12,12,1,0,0,1,16,1,469,0,120,0,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$ColonyWas,0,2178,private,java/lang/Object,0,5,1,2,0,0,1,10,5,84,33,6,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$EuropeWas,0,1149,private,java/lang/Object,0,3,1,2,0,0,1,6,3,32,14,2,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameController$UnitWas,0,4333,private,java/lang/Object,0,8,1,4,0,0,1,21,31,263,92,16,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler,0,34024,public final super,net/sf/freecol/client/control/InputHandler,0,2,0,33,0,25,25,88,162,2364,629,210,64,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$1,0,1474,,java/lang/Object,1,2,2,2,0,0,1,7,2,26,10,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$2,0,1328,,java/lang/Object,1,3,3,2,0,0,1,8,3,35,12,2,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$3,1,1019,static synthetic,java/lang/Object,0,1,1,1,0,0,1,5,1,26,0,6,0,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$FoundingFatherSwingTask,0,2334,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,2,1,2,0,0,1,10,3,38,16,3,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$LootCargoSwingTask,0,2032,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,4,1,2,0,0,1,9,3,41,19,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,1040,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,3,0,0,9,6,3,14,5,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ReconnectSwingTask,0,1067,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,1,6,2,13,4,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$RefreshCanvasSwingTask,0,1261,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,2,1,3,0,0,2,5,5,27,12,0,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$RefreshTilesSwingTask,0,1291,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,3,1,2,0,0,0,5,2,22,12,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$SetCurrentPlayerSwingTask,0,3346,,net/sf/freecol/client/control/InGameInputHandler$RefreshCanvasSwingTask,0,4,1,2,0,0,1,16,7,87,29,4,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowConfirmDialogSwingTask,0,2222,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,5,1,3,0,0,1,13,4,59,23,4,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowErrorMessageSwingTask,0,1354,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,3,1,2,0,0,1,7,2,24,11,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowInformationMessageSwingTask,0,1453,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,2,1,2,0,0,1,7,2,22,9,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowInputDialogSwingTask,0,2330,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,7,1,3,0,0,1,12,5,72,30,4,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,1103,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,3,5,3,26,7,1,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowModelMessageSwingTask,0,1393,,net/sf/freecol/client/control/InGameInputHandler$ShowMessageSwingTask,0,2,1,2,0,0,0,7,2,24,8,1,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowMonarchPanelSwingTask,0,2374,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,3,1,3,0,0,1,13,4,55,18,4,3,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowNegotiationDialogSwingTask,0,2170,,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,4,1,3,0,0,1,11,4,48,18,2,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowSelectSwingTask,0,1192,abstract,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,1,1,2,0,0,0,8,3,28,8,2,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$ShowVictoryPanelSwingTask,0,1080,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,1,1,2,0,0,1,5,2,14,6,0,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$SpyColonySwingTask,0,1973,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,3,1,3,1,1,2,9,3,31,14,1,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$SpyColonySwingTask$1,0,1258,,java/lang/Object,1,2,2,2,0,0,1,5,2,16,7,0,1,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$SwingTask,0,3230,abstract static,java/lang/Object,1,4,0,13,0,0,8,14,16,142,33,3,4,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$UnitAttackAnimationCanvasSwingTask,0,2207,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,5,1,3,0,0,1,8,5,55,28,1,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$UnitMoveAnimationCanvasSwingTask,0,2242,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,5,1,3,0,0,1,9,5,53,28,1,2,
freecol,freecol-0.10.1,net/sf/freecol/client/control/InGameInputHandler$UpdateMenuBarSwingTask,0,1041,,net/sf/freecol/client/control/InGameInputHandler$NoResultCanvasSwingTask,0,1,1,2,0,0,1,5,2,12,5,0,1,
