System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
ant,ant-1.3,org/apache/tools/ant/AntClassLoader,0,7231,public super,java/lang/ClassLoader,0,15,6,17,1,0,7,28,49,681,169,72,19,
ant,ant-1.3,org/apache/tools/ant/BuildEvent,0,1654,public super,java/util/EventObject,0,6,0,11,0,0,5,8,11,80,36,0,3,
ant,ant-1.3,org/apache/tools/ant/BuildException,0,2239,public super,java/lang/RuntimeException,0,2,0,14,0,0,88,10,16,137,58,4,8,
ant,ant-1.3,org/apache/tools/ant/BuildListener,0,363,public abstract interface,java/lang/Object,1,0,0,7,0,0,5,4,7,0,0,0,0,
ant,ant-1.3,org/apache/tools/ant/BuildLogger,0,323,public abstract interface,java/lang/Object,1,0,0,4,0,0,2,6,4,0,0,0,0,
ant,ant-1.3,org/apache/tools/ant/Constants,0,120,abstract interface,java/lang/Object,0,0,0,0,0,0,0,1,0,0,0,0,0,
ant,ant-1.3,org/apache/tools/ant/DefaultLogger,0,2990,public super,java/lang/Object,1,7,0,14,0,0,4,15,25,236,49,7,5,
ant,ant-1.3,org/apache/tools/ant/DesirableFilter,0,634,public super,java/lang/Object,1,0,0,2,0,0,0,6,9,43,8,0,1,
ant,ant-1.3,org/apache/tools/ant/DirectoryScanner,0,7435,public super,java/lang/Object,1,11,0,23,0,0,20,12,137,1373,445,117,15,
ant,ant-1.3,org/apache/tools/ant/FileScanner,0,566,public abstract interface,java/lang/Object,0,0,0,13,0,0,3,4,13,0,0,0,0,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper,0,8444,public super,java/lang/Object,0,16,9,14,1,18,20,45,78,792,202,39,33,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$1,0,958,,java/lang/Object,1,2,2,2,0,0,1,5,2,16,7,0,1,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$10,0,1063,,java/lang/Object,1,2,2,2,0,0,1,8,2,24,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$11,0,1130,,java/lang/Object,1,2,2,2,0,0,1,8,2,25,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$12,0,1229,,java/lang/Object,1,2,2,2,0,0,1,10,2,29,9,2,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$13,0,1117,,java/lang/Object,1,2,2,2,0,0,1,8,2,23,9,1,1,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$14,0,1109,,java/lang/Object,1,2,2,2,0,0,1,8,2,25,9,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$15,0,1413,,java/lang/Object,1,3,3,2,0,0,1,11,2,39,14,3,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$16,0,1384,,java/lang/Object,1,3,3,2,0,0,1,10,2,39,12,3,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$2,0,1227,,java/lang/Object,1,3,3,2,0,0,1,6,2,31,12,2,1,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$3,0,1021,,java/lang/Object,1,2,2,2,0,0,1,7,2,21,8,1,1,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$4,0,1100,,java/lang/Object,1,2,2,2,0,0,1,8,2,26,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$5,0,1060,,java/lang/Object,1,2,2,2,0,0,1,8,2,24,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$6,0,1061,,java/lang/Object,1,2,2,2,0,0,1,8,2,24,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$7,0,1063,,java/lang/Object,1,2,2,2,0,0,1,8,2,24,8,1,2,
ant,ant-1.3,org/apache/tools/ant/IntrospectionHelper$8,0,1060,,java/lang/Object,1,2,2,2,0,0,1,8,2,24,8,1,2,
