System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.7.3,net/sf/freecol/FreeCol,0,17741,public final super,java/lang/Object,0,26,0,22,0,2,39,56,93,1299,246,74,29,
freecol,freecol-0.7.3,net/sf/freecol/FreeCol$1,0,791,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.7.3,net/sf/freecol/FreeCol$2,0,941,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions,0,8721,public super,net/sf/freecol/common/option/OptionMap,0,56,0,11,2,7,25,24,14,553,79,22,18,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$1,0,1100,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$2,0,1092,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$3,0,1079,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$4,0,1078,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$5,0,1175,static,java/lang/Object,1,0,0,3,1,0,1,6,4,30,10,1,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$6,0,2097,,java/lang/Object,1,1,1,4,1,0,1,12,13,93,31,3,1,
freecol,freecol-0.7.3,net/sf/freecol/client/ClientOptions$7,0,1399,,java/lang/Object,1,1,1,3,1,0,1,6,5,35,15,1,1,
freecol,freecol-0.7.3,net/sf/freecol/client/FreeColClient,0,12618,public final super,java/lang/Object,0,30,0,43,3,3,197,48,59,492,155,5,20,
freecol,freecol-0.7.3,net/sf/freecol/client/FreeColClient$1,0,907,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/FreeColClient$2,0,1903,,java/lang/Object,1,1,1,2,0,0,1,10,3,48,9,4,1,
freecol,freecol-0.7.3,net/sf/freecol/client/FreeColClient$ClientPseudoRandom,0,3354,private,java/lang/Object,1,4,1,6,0,0,1,17,14,137,36,9,6,
freecol,freecol-0.7.3,net/sf/freecol/client/Worker,0,1885,public final super,java/lang/Thread,0,3,0,5,0,0,3,10,6,54,11,3,2,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ClientModelController,0,6291,public super,java/lang/Object,1,2,0,11,0,0,2,26,18,248,55,16,9,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController,0,16153,public final super,java/lang/Object,0,2,0,16,2,2,19,49,56,1047,263,94,20,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1,0,3285,,java/lang/Object,1,7,7,2,0,5,6,22,2,138,48,11,8,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1$1,0,1202,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1$2,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1$3,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1$4,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.7.3,net/sf/freecol/client/control/ConnectController$1$5,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
