System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.6.0,net/sf/freecol/FreeCol,0,11754,public final super,java/lang/Object,0,24,0,15,3,3,26,35,63,845,151,40,20,
freecol,freecol-0.6.0,net/sf/freecol/FreeCol$1,0,791,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.6.0,net/sf/freecol/FreeCol$2,0,1565,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.6.0,net/sf/freecol/FreeCol$3,0,941,static,java/lang/Object,1,2,2,2,0,0,1,6,2,16,7,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions,0,11107,public super,net/sf/freecol/common/option/OptionMap,0,48,0,10,2,7,16,19,13,495,64,15,16,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$1,0,1100,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$2,0,1092,static,java/lang/Object,1,0,0,3,1,0,1,6,3,16,6,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$3,0,1079,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$4,0,1078,static,java/lang/Object,1,0,0,3,1,0,1,5,4,26,10,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$5,0,1175,static,java/lang/Object,1,0,0,3,1,0,1,6,4,30,10,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$6,0,2097,,java/lang/Object,1,1,1,4,1,0,1,12,13,93,31,3,1,
freecol,freecol-0.6.0,net/sf/freecol/client/ClientOptions$7,0,1399,,java/lang/Object,1,1,1,3,1,0,1,6,5,35,15,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/FreeColClient,0,13739,public final super,java/lang/Object,0,31,0,37,2,2,151,56,57,546,151,22,28,
freecol,freecol-0.6.0,net/sf/freecol/client/FreeColClient$1,0,905,,java/lang/Object,1,2,2,2,0,0,1,5,2,15,7,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/FreeColClient$ClientPseudoRandom,0,3362,private,java/lang/Object,1,4,1,6,0,0,1,17,14,137,36,9,6,
freecol,freecol-0.6.0,net/sf/freecol/client/Worker,0,2113,public final super,java/lang/Thread,0,6,0,5,0,0,2,11,6,54,11,3,2,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ClientModelController,0,6499,public super,java/lang/Object,1,5,0,11,0,0,2,26,18,248,55,16,9,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController,0,15915,public final super,java/lang/Object,0,5,0,16,2,2,18,48,56,1009,257,92,20,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1,0,2976,,java/lang/Object,1,7,7,2,0,4,5,20,2,119,43,9,7,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1$1,0,1202,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1$2,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1$3,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1$4,0,1500,,java/lang/Object,1,2,2,2,0,0,1,9,3,29,9,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/ConnectController$1ErrorJob,0,1096,,java/lang/Object,1,3,2,2,0,0,2,6,2,21,10,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController,0,58715,public final super,java/lang/Object,1,8,0,81,1,5,56,76,478,6333,1785,401,52,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$1,0,1753,,java/lang/Thread,0,3,3,2,0,2,3,12,2,37,12,1,3,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$1$1,0,895,,java/lang/Object,1,1,1,2,0,0,1,5,2,16,5,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$1$2,0,885,,java/lang/Object,1,1,1,2,0,0,1,5,2,12,4,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$2,0,2332,,java/lang/Object,1,4,4,4,0,0,1,14,7,66,20,2,3,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$3,0,1197,,java/lang/Object,1,1,1,2,0,0,1,7,2,17,5,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$4,0,1272,,java/lang/Object,1,1,1,2,0,0,1,8,2,16,5,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameController$5,0,1557,,java/lang/Object,1,2,2,2,0,0,1,9,4,43,12,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler,0,24170,public final super,net/sf/freecol/client/control/InputHandler,0,4,0,23,0,19,21,54,125,2582,571,299,50,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$1,0,1646,,java/lang/Object,1,3,3,2,0,0,1,8,2,35,13,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$2,0,1160,,java/lang/Object,1,2,2,2,0,0,1,7,2,17,7,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$3,0,1654,,java/lang/Object,1,2,2,2,0,0,1,9,2,27,9,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$4,0,1314,,java/lang/Object,1,4,4,2,0,0,1,9,2,27,13,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$5,0,1269,,java/lang/Object,1,2,2,2,0,0,1,8,5,31,11,1,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$6,0,1059,,java/lang/Object,1,2,2,2,0,0,1,6,2,14,6,0,1,
freecol,freecol-0.6.0,net/sf/freecol/client/control/InGameInputHandler$7,0,1927,,java/lang/Object,1,5,5,2,0,0,1,10,2,79,17,9,2,
