System,Version,ClassName,Synthetic,#Bytes,Access,ParentClass,#Interfaces,#Fields,#SyntheticFields,#Methods,#SyntheticMethods,#Nested,FanIn,FanOut,WeightedMethodCount,#Instructions,LoadCount,StoreCount,#TypeConstructions,
freecol,freecol-0.4.0,net/sf/freecol/FreeCol,0,8749,public final super,java/lang/Object,0,20,1,14,4,2,14,31,43,558,98,28,15,
freecol,freecol-0.4.0,net/sf/freecol/FreeCol$1,0,726,static,java/lang/Thread,0,1,1,2,0,0,1,4,2,11,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/FreeCol$2,0,1500,static,java/lang/Object,1,0,0,2,0,0,1,11,2,32,2,2,2,
freecol,freecol-0.4.0,net/sf/freecol/client/ClientOptions,0,1913,public super,net/sf/freecol/common/option/OptionMap,0,5,1,6,1,0,3,8,7,38,5,1,2,
freecol,freecol-0.4.0,net/sf/freecol/client/FreeColClient,0,14128,public final super,java/lang/Object,0,30,1,37,2,1,74,55,58,579,164,28,26,
freecol,freecol-0.4.0,net/sf/freecol/client/FreeColClient$1,0,1290,,java/lang/Object,1,6,6,2,0,0,1,9,2,35,19,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ClientModelController,0,5258,public super,java/lang/Object,1,6,1,8,1,0,1,22,12,184,43,13,5,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ConnectController,0,11104,public final super,java/lang/Object,0,6,1,16,3,1,13,36,45,634,161,42,10,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ConnectController$1,0,2465,,java/lang/Thread,0,3,3,4,2,3,4,14,4,60,19,4,5,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ConnectController$2,0,1319,,java/lang/Object,1,2,2,2,0,0,1,7,2,23,8,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ConnectController$3,0,1008,,java/lang/Object,1,1,1,2,0,0,1,5,2,20,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/ConnectController$4,0,1419,,java/lang/Object,1,1,1,2,0,0,1,7,2,22,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameController,0,35450,public final super,java/lang/Object,1,6,1,56,2,1,39,54,230,3234,972,238,23,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameController$1,0,1930,,java/lang/Thread,0,3,3,3,1,2,3,12,3,40,13,1,3,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameController$2,0,884,,java/lang/Object,1,1,1,2,0,0,1,5,2,11,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameController$3,0,928,,java/lang/Object,1,1,1,2,0,0,1,5,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameInputHandler,0,12383,public final super,net/sf/freecol/client/control/InputHandler,0,5,1,17,1,4,7,37,67,893,237,78,17,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameInputHandler$1,0,988,,java/lang/Object,1,2,2,2,0,0,1,6,2,14,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameInputHandler$2,0,1611,,java/lang/Object,1,3,3,2,0,0,1,8,2,35,13,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameInputHandler$3,0,1109,,java/lang/Object,1,2,2,2,0,0,1,7,2,17,7,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InGameInputHandler$4,0,1603,,java/lang/Object,1,2,2,2,0,0,1,9,2,27,9,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InputHandler,0,2382,public abstract super,java/lang/Object,1,6,1,7,2,1,3,13,8,41,8,1,2,
freecol,freecol-0.4.0,net/sf/freecol/client/control/InputHandler$1,0,1088,,java/lang/Object,1,1,1,2,0,0,1,6,3,23,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/control/PreGameController,0,9888,public final super,java/lang/Object,0,6,1,12,1,0,6,44,19,399,101,29,14,
freecol,freecol-0.4.0,net/sf/freecol/client/control/PreGameInputHandler,0,6430,public final super,net/sf/freecol/client/control/InputHandler,0,5,1,14,1,0,1,20,28,377,101,37,4,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/Canvas,0,32196,public final super,javax/swing/JLayeredPane,0,33,1,79,4,3,81,81,156,2725,844,96,54,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/Canvas$1,0,897,,java/lang/Thread,0,1,1,2,0,0,1,5,2,13,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/Canvas$ChatDisplayThread,0,1020,final private,java/lang/Thread,0,1,1,2,0,0,1,5,3,20,5,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/Canvas$TakeFocusThread,0,1692,final private,java/lang/Thread,0,3,1,5,0,0,1,9,8,57,14,2,2,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/CanvasKeyListener,0,3476,public final super,java/lang/Object,1,8,1,6,1,0,1,14,15,139,27,1,2,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/CanvasMouseListener,0,2999,public final super,java/lang/Object,1,5,0,6,0,0,1,12,18,126,39,3,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/CanvasMouseMotionListener,0,2700,public final super,java/lang/Object,1,8,0,3,0,1,2,14,10,81,29,3,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/CanvasMouseMotionListener$ScrollThread,0,2725,private,java/lang/Thread,0,5,1,4,0,0,1,10,23,229,71,13,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar,0,11406,public super,javax/swing/JMenuBar,0,20,4,8,4,21,23,47,13,910,250,42,28,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$1,0,923,,java/lang/Object,1,1,1,2,0,0,1,6,2,11,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$10,0,1247,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$11,0,1261,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$12,0,1247,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$13,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$14,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$15,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$16,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$17,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$18,0,944,,java/lang/Object,1,1,1,2,0,0,1,6,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$19,0,1261,,java/lang/Object,1,1,1,2,0,0,1,8,2,19,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$2,0,1070,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$20,0,1248,,java/lang/Object,1,2,2,2,0,0,1,8,3,24,8,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$21,0,4261,,java/lang/Object,1,1,1,2,0,0,1,21,9,200,37,11,2,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$3,0,1070,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$4,0,1054,,java/lang/Object,1,1,1,2,0,0,1,7,2,13,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$5,0,1074,,java/lang/Object,1,1,1,2,0,0,1,7,2,12,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$6,0,920,,java/lang/Object,1,1,1,2,0,0,1,6,2,11,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$7,0,1328,,java/lang/Object,1,1,1,2,0,0,1,9,2,21,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$8,0,1323,,java/lang/Object,1,1,1,2,0,0,1,9,2,21,6,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FreeColMenuBar$9,0,1251,,java/lang/Object,1,1,1,2,0,0,1,7,3,20,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/FullScreenFrame,0,2480,public final super,javax/swing/JFrame,0,6,1,5,1,0,1,11,6,56,12,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/GUI,0,32401,public final super,java/lang/Thread,0,49,1,53,1,0,34,55,384,4976,1558,244,16,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/GUIMessage,0,1865,public final super,java/lang/Object,0,8,1,6,1,0,2,9,7,45,11,1,2,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/ImageLibrary,0,20641,public final super,net/sf/freecol/client/gui/panel/ImageProvider,0,173,2,41,1,0,9,32,152,1651,374,67,28,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/TilePopup,0,5486,public final super,javax/swing/JPopupMenu,1,10,1,8,1,0,1,24,18,241,70,12,7,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/WindowedFrame,0,2878,public final super,javax/swing/JFrame,0,6,1,5,1,0,1,14,8,93,19,2,3,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/WindowedFrameListener,0,1471,public final super,java/lang/Object,1,4,0,8,0,0,1,6,8,16,4,0,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/ActionManager,0,3766,public super,net/sf/freecol/common/option/OptionGroup,0,6,1,6,1,0,7,23,10,148,45,5,13,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/BuildColonyAction,0,2836,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,13,10,58,11,2,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/BuildRoadAction,0,3084,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,14,13,83,18,3,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/ChatAction,0,2341,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,11,7,42,6,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/ClearOrdersAction,0,2689,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,12,8,54,9,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/DisbandUnitAction,0,2631,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,12,8,50,8,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/EndTurnAction,0,2394,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,11,7,42,6,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/EuropeAction,0,2273,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,5,1,0,1,11,6,39,5,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/FortifyAction,0,2653,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,12,8,55,9,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/FreeColAction,0,5788,public abstract super,javax/swing/AbstractAction,1,7,2,14,1,0,4,20,36,297,78,10,3,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/MapControlsAction,0,3455,public super,net/sf/freecol/client/gui/action/MapboardAction,0,8,1,9,1,0,2,14,20,120,31,1,2,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/MapboardAction,0,2167,public abstract super,net/sf/freecol/client/gui/action/FreeColAction,0,5,1,4,1,0,12,11,8,50,13,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/PlowAction,0,3371,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,15,15,115,27,3,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/SkipUnitAction,0,2610,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,6,1,0,1,12,8,50,8,1,1,
freecol,freecol-0.4.0,net/sf/freecol/client/gui/action/WaitAction,0,2291,public super,net/sf/freecol/client/gui/action/MapboardAction,0,6,1,5,1,0,1,11,6,39,5,1,1,
